name,Tb (K),a_acc,a_don,a_heavy,a_nC,a_nN,a_nO,logP(o/w),TPSA,Weight
250,379.5,1,1,6,5,1,0,0.87300003,12.03,85.150002
251,489.42001,0,0,11,10,1,0,2.503,3.24,149.237
252,516.65002,1,2,8,6,2,0,0.67299998,38.049999,108.144
253,374.32999,0,0,4,1,1,2,0.18700001,45.82,61.039997
254,483.95001,0,0,9,6,1,2,1.841,45.82,123.111
255,495.64001,0,0,10,7,1,2,2.1370001,45.82,137.138
256,504.67999,0,0,10,7,1,2,2.1760001,45.82,137.138
257,511.64999,0,0,10,7,1,2,2.1389999,45.82,137.138
258,269.54999,0,0,5,1,0,0,2.7019601,0,165.364
259,377.57999,0,0,5,1,0,0,2.6271601,0,198.274
260,215.3,0,0,5,1,0,0,2.4535201,0,148.909
261,257.95999,0,0,4,1,0,0,1.63776,0,130.91899
262,491.16,0,0,4,1,0,0,3.5320799,0,393.73099
263,264.04001,0,0,3,1,0,0,1.05592,0,68.477997
264,315.59,0,0,2,1,0,0,1.442,0,141.939
265,320.35999,0,0,8,2,0,0,3.10552,0,259.82199
266,235.87,0,0,8,2,0,0,2.2545199,0,154.465
267,276.20999,0,0,8,2,0,0,2.50296,0,170.92
268,319.07999,0,0,8,2,0,0,2.5608399,0,187.375
269,364.64999,0,0,8,2,0,0,2.99984,0,203.82999
270,390.95999,1,0,7,2,0,1,2.2030799,17.07,181.83299
271,197.38,0,0,6,2,0,0,1.99984,0,100.01399
272,195,0,0,8,2,0,0,1.81552,0,138.00999
273,341.53,0,0,7,2,0,0,2.36112,0,197.381
274,254.88,0,0,5,2,0,0,1.60092,0,98.478996
275,264.82001,0,0,7,2,0,0,1.90668,0,136.47499
276,261.35999,0,0,7,2,0,0,1.90668,0,136.47499
277,302.06,0,0,7,2,0,0,2.34568,0,152.92999
278,300.82001,0,0,7,2,0,0,2.1551199,0,152.92999
279,381.64001,1,0,6,2,0,1,1.7973599,17.07,147.388
280,370.73001,1,0,6,2,0,1,1.55308,17.07,147.388
281,221.34,0,0,5,2,0,0,1.16192,0,82.023994
282,225.08,0,0,7,2,0,0,1.46768,0,120.02
283,516.66998,0,0,6,2,0,0,3.3187201,0,345.65399
284,279.34,0,0,6,2,0,0,1.60676,0,118.48499
285,333.41,0,0,4,2,0,0,1.202,0,96.944
286,320.82999,0,0,4,2,0,0,1.202,0,96.944
287,319.69,0,0,6,2,0,0,2.0457599,0,134.94
288,362.57001,1,0,5,2,0,1,1.14736,17.07,112.943
289,361.10001,0,0,6,2,0,0,2.2941999,0,151.39499
290,404.42001,0,0,6,2,0,0,2.3520801,0,167.84999
291,188.86,0,0,4,2,0,0,1.48492,0,64.033997
292,247.05,0,0,6,2,0,0,1.16776,0,102.03
293,251.57001,0,0,6,2,0,0,1.11984,0,102.03
294,279.10001,1,0,7,2,0,1,1.43584,9.2299995,118.029
295,569,4,4,6,2,0,4,-0.69999999,74.599998,90.033997
296,288.97,0,0,3,2,0,0,1.2920001,0,106.95
297,462.09,0,0,5,2,0,0,2.5643599,0,266.758
298,263.62,0,0,5,2,0,0,1.83276,0,100.495
299,308.20001,0,0,5,2,0,0,1.25892,0,100.495
300,308.25,0,0,5,2,0,0,1.25892,0,100.495
301,323.89999,1,0,4,2,0,1,0.82099998,17.07,78.498001
302,358.07001,1,0,4,2,0,1,0.59899998,17.07,78.498001
303,343.89999,1,0,5,2,0,2,1.107,26.299999,94.496994
304,305.07999,0,0,5,2,0,0,2.0811999,0,116.95
305,347.29001,0,0,5,2,0,0,1.69792,0,116.95
306,387,0,0,5,2,0,0,1.94636,0,133.405
307,200.97,0,0,3,2,0,0,0.64700001,0,46.043999
308,277.53,0,0,5,2,0,0,0.81992,0,84.039993
309,329.32001,0,0,3,2,0,0,1.684,0,153.95
310,332.16,0,0,3,2,1,0,-0.25299999,4.3600001,41.052998
311,289.29999,0,0,4,2,0,0,1.48492,0,82.504997
312,326.10999,0,0,4,2,0,0,0.95899999,0,82.504997
