,Bengala,Inari yellow clay,Tahara white clay,Lascaux black,Italian green clay,Blue gray powder
366,10,20,10,0,0,30
367,15,15,0,5,10,45
368,10,30,10,5,10,25
369,5,15,10,10,20,30
370,0,30,10,10,40,0
371,10,15,5,5,25,10
372,0,0,15,10,5,70
373,5,15,15,40,5,10
374,10,35,0,25,10,20
375,10,0,10,5,15,20
376,25,0,35,5,0,5
377,10,30,20,30,0,0
378,25,0,10,5,10,40
379,25,0,0,45,15,5
380,5,25,40,0,30,0
381,40,20,0,0,20,20
382,10,10,30,35,5,0
383,10,45,5,10,10,0
384,15,15,20,15,30,5
385,15,25,15,20,15,0
386,50,10,5,5,0,10
387,5,0,45,20,20,0
388,5,10,5,10,45,15
389,35,20,40,5,0,0
390,5,15,25,40,10,5
391,10,20,30,25,10,5
392,5,10,20,5,60,0
393,5,5,40,15,25,0
394,20,0,0,0,65,5
395,10,0,30,20,0,40
396,20,20,5,5,25,25
397,0,0,20,35,30,15
398,0,55,15,0,0,30
399,30,5,30,15,0,20
