,L,a,b
78,84.4191719671,1.2390373677,1.48027983251
79,79.9951295249,2.30095149576,5.06075552102
80,80.8146785676,4.2164240906,6.97989409088
81,77.4855529403,5.51297731292,5.94654333657
82,81.7707980501,2.56127763188,2.82954279984
83,83.8996098705,1.73868472476,2.90424835287
84,87.5449972379,3.62058314008,-0.11941790728
85,78.4067588292,3.77812317671,3.47906947149
86,80.3069256643,-0.00411415834922,4.54253805714
87,80.2156245262,-0.225531190281,3.22880459458
88,77.6103602637,9.67154242018,9.20912096264
89,81.4564904235,2.83288496358,6.41149045364
90,85.0141037345,1.07550346532,3.66557513126
91,74.3201949279,7.68968863547,4.01983466556
92,76.5955363133,7.92971251128,5.78231732839
93,79.2139126756,2.20748860336,4.52927658488
94,80.1703707242,1.31414984679,4.57976995031
95,84.2216671243,3.03585807551,1.47863287137
96,80.8462192604,2.87011537868,8.53855833337
97,81.1565964637,2.69729808981,6.51595157544
98,84.4586850309,3.60047998176,8.90253649341
99,80.371622854,2.48789382911,9.62983973588
100,78.8638604428,5.45699259114,8.23756831665
101,83.2471085344,3.63073247715,8.9798000077
102,77.9127638726,4.21596855945,9.64686490386
103,86.6504883997,1.80751879717,0.963682808841
104,74.7558918646,6.86032499821,5.96609023034
105,82.5513522768,4.33178539692,4.48545987376
106,76.9561849931,3.68232446912,6.14309676803
107,74.2276213628,7.46222897543,5.31380689523
108,78.8295215652,0.396526503414,2.66418696588
109,82.1689025106,4.56441803463,2.81102867894
110,82.0588386119,2.14687652789,2.53318715778
111,81.3511875429,1.23365384345,3.2902707825
112,90.6535254838,1.64271389805,1.95845491537
113,83.1510121452,0.757928683431,3.4760057762
114,81.9501860141,1.46179828186,3.74554401355
115,85.6270399018,2.83490682363,5.89020661739
116,80.5522458994,4.91741371405,11.7120008807
117,79.9885708051,1.61795994774,3.07013583643
118,86.075277206,3.01242854109,5.45455401161
119,84.2950356755,1.42843051923,0.723765411855
120,84.344869474,3.14960239294,1.77783719164
121,81.6961372909,3.4595889967,9.62164349345
122,80.3972964013,7.55597443952,15.8326876241
123,81.8403490001,1.74119653487,4.1382908195
124,78.6949875955,1.0953197891,6.22448774064
125,82.8525301658,0.293406657766,3.70454123147
126,83.8334802955,2.74985366532,2.86034551078
127,79.2970260369,2.81090079482,5.71975935915
128,80.3351457994,-0.169563316874,2.55665494386
129,81.1504001927,3.98162233353,2.69848146769
130,78.2541984011,8.29781778883,21.4360113629
131,80.7013738984,2.63008748384,4.42010715132
132,82.4203433927,1.50341899549,1.16837072569
133,85.6235970612,1.89297610186,4.90538650971
134,79.6187076779,-0.390162200578,2.1840313458
135,80.2318135155,1.71948003397,1.79982550203
136,78.7941659783,1.00195632898,6.38806211592
137,84.9847040045,3.19674074814,7.85511810054
138,78.8957891633,8.50075391175,17.8415927354
139,87.147374597,2.54101632312,4.22945099916
140,79.9877855937,2.19186738706,7.9630878873
141,83.5089894645,4.58465965352,13.3901841475
142,79.7426522962,1.32261884381,5.85475030326
143,75.5875738606,10.9022501825,4.72683512729
144,81.2947078161,2.51053380061,6.04873232427
145,83.8050724545,4.68103791163,6.57822648457
146,76.8453217143,3.57039779575,4.49706560224
147,79.2791317138,1.17897590881,5.1230265833
148,82.7960592844,0.279947221796,3.51489346317
149,86.1084242696,0.596853536733,3.51839026544
150,79.2836719064,8.67040488846,7.71395203415
151,80.8665548764,2.57083279813,7.26624829003
152,78.1819076909,7.64516466912,10.1634444063
153,80.491648595,5.75211712066,8.02728503612
154,79.9256224217,0.301494175612,5.11348769437
155,79.4594512996,3.35694558869,4.12058826687
156,80.4811765385,7.85525946578,13.4992068937
