,R,G,B
51,0.907920562283,0.838509279152,0.804146796241
52,0.870752263386,0.79492413199,0.740252637351
53,0.807724544077,0.788889775789,0.766996352018
54,0.891628667613,0.831849369924,0.798469836432
55,0.83292542636,0.771986293683,0.738079010981
56,0.861102009919,0.826915522037,0.813733179843
57,0.855629836382,0.799641923913,0.792908394353
58,0.804635175369,0.726428511116,0.702400442306
59,0.811706018651,0.763582899363,0.726740418801
60,0.841965238802,0.747925345441,0.726965072873
61,0.843081786713,0.751571551532,0.730953693045
62,0.771825524074,0.753182827118,0.731047044371
63,0.793401497312,0.765731751139,0.734435335467
64,0.811395968054,0.755716308946,0.705354534641
65,0.877543835887,0.848263240308,0.838556446293
66,0.830691734657,0.765089892926,0.703951428927
67,0.800513972671,0.770138059734,0.734145051082
68,0.823418542327,0.727539022338,0.709437844767
69,0.823147238565,0.798950751743,0.787668552308
70,0.815849931602,0.781188480816,0.767203323897
71,0.846080052782,0.750917181853,0.703022689418
72,0.831918334535,0.806642564716,0.790987363427
73,0.872207997266,0.835777269554,0.829575792284
74,0.814111229424,0.720507068047,0.663278844633
75,0.813990210406,0.754180954342,0.713718094476
76,0.859877844792,0.782744441899,0.749900132529
77,0.853516046157,0.847262875625,0.831042221243
78,0.84052777637,0.822643644959,0.81530844191
79,0.811379440625,0.770946615897,0.741410310657
80,0.840117064743,0.774725168376,0.736581363304
81,0.809898665781,0.735951959208,0.708621358397
82,0.825863361808,0.790209425707,0.776805706752
83,0.843283254604,0.81536788178,0.799286944669
84,0.888113101874,0.85175751527,0.86176272662
85,0.800114262544,0.750708743232,0.73598555658
86,0.795920873889,0.779873445551,0.748191912601
87,0.789047003923,0.779753472238,0.756699872267
88,0.849290323415,0.726128407777,0.687116894657
89,0.835404861445,0.785165578449,0.747406731398
90,0.852961997056,0.828941701551,0.805775272076
91,0.785278962519,0.697338802468,0.689072290998
92,0.816815193275,0.720533969394,0.700679064911
93,0.800528880469,0.762862356413,0.73684937457
94,0.80446893955,0.775303014386,0.746638506811
95,0.852090427812,0.816193867159,0.8134088254
96,0.835138503478,0.77789135897,0.725400887261
97,0.831414661062,0.782204753192,0.743400584901
98,0.881535653049,0.815386289672,0.761717597006
99,0.830216369711,0.7733775388,0.712343414544
100,0.83107201574,0.750303617969,0.706794540083
101,0.868499904799,0.802058011822,0.748085554586
